artifact_name,source_row_index,split,primary_layer,gold_label,predicted_label,purist_correct,pragmatic_correct,hidden_families,first_failure_owner,first_failure_reason,evidence_exact,selected_operand_complete,deterministic_correct,oracle_candidate_presence,oracle_graph_representability
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,198,validation,final_projected_label,1 per 4 week,1 per 4 week,True,True,unclassified,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,212,validation,final_projected_label,1 per 3 to 4 week,1 per 3 to 4 week,True,True,current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,218,validation,final_projected_label,1 per 3 week,1 per 3 week,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,243,validation,final_projected_label,1 per 4 month,1 per 4 month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,278,validation,final_projected_label,multiple per week,multiple per week,True,True,rate_bucket_or_denominator;current_vs_historical;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,280,validation,final_projected_label,multiple per day,multiple per day,True,True,rate_bucket_or_denominator;current_vs_historical;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,338,validation,final_projected_label,multiple per month,multiple per month,True,True,current_vs_historical;competing_semiologies;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,409,validation,final_projected_label,1 per month,1 per month,True,True,current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,419,validation,final_projected_label,2 per year,2 per year,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,446,validation,final_projected_label,2 per week,2 per week,True,True,cluster_burden;rate_bucket_or_denominator;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,466,validation,final_projected_label,21 to 28 per month,21 to 28 per month,True,True,competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,467,validation,final_projected_label,9 per month,9 per month,True,True,diary_or_log_aggregation;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,531,validation,final_projected_label,12 to 30 per 3 month,12 to 30 per month,True,True,cluster_burden;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,598,validation,final_projected_label,1 per 8 month,1 per 8 month,True,True,unclassified,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,659,validation,final_projected_label,2 per 4 day,2 per 4 day,True,True,cluster_burden,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,665,validation,final_projected_label,2 per 2 week,2 per 2 week,True,True,cluster_burden;diary_or_log_aggregation,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,678,validation,final_projected_label,2 per 4 month,2 per 4 month,True,True,unclassified,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,694,validation,final_projected_label,1 per week,1 per week,True,True,rate_bucket_or_denominator;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,704,validation,final_projected_label,2 per month,1 to 2 per 2 to 4 week,True,True,cluster_burden,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,725,validation,final_projected_label,1 per day,1 per day,True,True,rate_bucket_or_denominator,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,731,validation,final_projected_label,1 per day,1 per day,True,True,rate_bucket_or_denominator,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,743,validation,final_projected_label,multiple per week,multiple per shift,True,True,rate_bucket_or_denominator;benchmark_format_convention,none,primary layer is Purist-correct,True,False,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,744,validation,final_projected_label,multiple per week,multiple per week,True,True,cluster_burden;rate_bucket_or_denominator;current_vs_historical;competing_semiologies;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,763,validation,final_projected_label,1 per week,1 per week,True,True,rate_bucket_or_denominator;current_vs_historical,none,primary layer is Purist-correct,False,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,790,validation,final_projected_label,1 per 7 to 10 day,1 per 7 to 10 day,True,True,rate_bucket_or_denominator;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,816,validation,final_projected_label,1 per month,1 per month,True,True,rate_bucket_or_denominator;current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,849,validation,final_projected_label,1 per year,1 per year,True,True,rate_bucket_or_denominator,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,854,validation,final_projected_label,1 per year,1 per year,True,True,rate_bucket_or_denominator;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,869,validation,final_projected_label,multiple per month,multiple per month,True,True,diary_or_log_aggregation;rate_bucket_or_denominator;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,891,validation,final_projected_label,1 per 2 day,1 per 2 day,True,True,seizure_free_duration;diary_or_log_aggregation;current_vs_historical;competing_semiologies;benchmark_format_convention,none,primary layer is Purist-correct,False,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,899,validation,final_projected_label,1 per 2 week,1 per 2 week,True,True,diary_or_log_aggregation;rate_bucket_or_denominator;current_vs_historical;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,959,validation,final_projected_label,1 per 2 month,1 per 2 month,True,True,rate_bucket_or_denominator;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,960,validation,final_projected_label,1 per 2 month,1 per 2 month,True,True,rate_bucket_or_denominator;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,978,validation,final_projected_label,1 per 2 month,1 per 2 month,True,True,cluster_burden;rate_bucket_or_denominator;competing_semiologies;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,987,validation,final_projected_label,1 per 2 month,1 per 2 month,True,True,rate_bucket_or_denominator;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1030,validation,final_projected_label,1 to 3 per month,1 to 3 per month,True,True,diary_or_log_aggregation;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1046,validation,final_projected_label,3 to 5 per month,3 to 5 per month,True,True,cluster_burden;current_vs_historical;uncertainty_or_ambiguity,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1070,validation,final_projected_label,3 to 4 per week,3 to 4 per week,True,True,rate_bucket_or_denominator;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1094,validation,final_projected_label,3 to 5 per week,3 to 5 per week,True,True,rate_bucket_or_denominator;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1165,validation,final_projected_label,5 to 7 per 3 week,1 per 3 week,False,True,competing_semiologies,deterministic_adapter,adapter regressed a raw-correct clinical selection,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1171,validation,final_projected_label,7 to 9 per 3 week,7 to 9 per 3 week,True,True,competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1207,validation,final_projected_label,21 to 28 per 3 month,21 to 28 per 3 month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1223,validation,final_projected_label,3 to 4 per week,3 to 4 per week,True,True,rate_bucket_or_denominator;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1249,validation,final_projected_label,2 to 4 per week,2 to 4 per week,True,True,rate_bucket_or_denominator;current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1281,validation,final_projected_label,5 to 7 per year,5 to 7 per 10 month,True,True,unclassified,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1317,validation,final_projected_label,"unknown, multiple per cluster",1 per day,False,False,cluster_burden;rate_bucket_or_denominator;current_vs_historical;uncertainty_or_ambiguity;benchmark_format_convention,deterministic_adapter,adapter regressed a raw-correct clinical selection,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1357,validation,final_projected_label,1 per day,1 per day,True,True,rate_bucket_or_denominator;competing_semiologies,none,primary layer is Purist-correct,True,False,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1363,validation,final_projected_label,3 per day,1 to 2 per week,False,True,rate_bucket_or_denominator;competing_semiologies,llm_clinical_selection,raw model clinical selection was already wrong,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1413,validation,final_projected_label,9 per month,9 per month,True,True,current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1454,validation,final_projected_label,7 per week,7 per week,True,True,rate_bucket_or_denominator;current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1486,validation,final_projected_label,3 per month,2 per month,True,True,current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1573,validation,final_projected_label,11 per week,11 per week,True,True,rate_bucket_or_denominator;current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1591,validation,final_projected_label,11 per month,5 per month,True,True,current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1596,validation,final_projected_label,12 per week,12 per week,True,True,rate_bucket_or_denominator;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1597,validation,final_projected_label,12 per month,12 per month,True,True,current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1636,validation,final_projected_label,5 per month,5 per month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1640,validation,final_projected_label,5 per week,5 per week,True,True,rate_bucket_or_denominator;current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1687,validation,final_projected_label,multiple per week,multiple per day,True,True,rate_bucket_or_denominator;current_vs_historical;competing_semiologies;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1694,validation,final_projected_label,"1 cluster per 2 week, 3 per cluster",3 per 2 week,True,True,cluster_burden;current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1695,validation,final_projected_label,multiple per month,3 to 5 per month,False,False,diary_or_log_aggregation;current_vs_historical;competing_semiologies;benchmark_format_convention,llm_clinical_selection,raw model clinical selection was already wrong,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1706,validation,final_projected_label,"multiple cluster per month, multiple per cluster",1 per 1 month,False,False,cluster_burden;current_vs_historical;competing_semiologies;benchmark_format_convention,operand_exposure,model did not expose complete adapter operands,True,False,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1707,validation,final_projected_label,multiple per week,1 per 7 day,False,False,cluster_burden;rate_bucket_or_denominator;current_vs_historical;competing_semiologies;benchmark_format_convention,deterministic_adapter,adapter regressed a raw-correct clinical selection,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1772,validation,final_projected_label,11 per 6 month,11 per 6 month,True,True,cluster_burden;current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1773,validation,final_projected_label,11 per 3 month,11 per 3 month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1790,validation,final_projected_label,8 per 4 month,8 per 4 month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1794,validation,final_projected_label,8 per 2 month,8 per 2 month,True,True,current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1866,validation,final_projected_label,8 per 2 month,8 per 2 month,True,True,cluster_burden;current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1880,validation,final_projected_label,8 per 2 month,8 per 2 month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1887,validation,final_projected_label,4 per 3 month,4 per 3 month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1914,validation,final_projected_label,7 per 3 month,7 per 3 month,True,True,current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1922,validation,final_projected_label,7 per 3 month,7 per 3 month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1923,validation,final_projected_label,7 per 6 month,7 per 6 month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1979,validation,final_projected_label,6 per 2 month,3 per 2 month,True,True,current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,1980,validation,final_projected_label,6 per 3 month,6 per 3 month,True,True,current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2023,validation,final_projected_label,5 per month,5 per month,True,True,competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2080,validation,final_projected_label,multiple per month,multiple per month,True,True,current_vs_historical;benchmark_format_convention,none,primary layer is Purist-correct,False,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2094,validation,final_projected_label,multiple per month,multiple per month,True,True,current_vs_historical;competing_semiologies;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2114,validation,final_projected_label,multiple per month,multiple per month,True,True,current_vs_historical;competing_semiologies;benchmark_format_convention,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2149,validation,final_projected_label,unknown,unknown,True,True,unknown_boundary;cluster_burden;current_vs_historical;competing_semiologies;uncertainty_or_ambiguity,none,primary layer is Purist-correct,True,False,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2166,validation,final_projected_label,unknown,frequent per unknown,True,True,unknown_boundary;uncertainty_or_ambiguity,none,primary layer is Purist-correct,True,False,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2228,validation,final_projected_label,3 to 5 per 2 week,3 to 5 per 2 week,True,True,diary_or_log_aggregation;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2233,validation,final_projected_label,6 to 7 per 2 month,6 to 7 per 2 month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2245,validation,final_projected_label,7 to 8 per 3 week,7 to 8 per 3 week,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2259,validation,final_projected_label,6 to 8 per 3 month,6 to 8 per 3 month,True,True,cluster_burden;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2354,validation,final_projected_label,6 to 7 per week,6 to 7 per week,True,True,rate_bucket_or_denominator;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2366,validation,final_projected_label,2 to 4 per year,2 to 4 per year,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2369,validation,final_projected_label,3 to 4 per month,3 to 4 per month,True,True,cluster_burden;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2374,validation,final_projected_label,7 to 9 per month,7 to 9 per month,True,True,rate_bucket_or_denominator;current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2425,validation,final_projected_label,6 to 8 per month,6 to 8 per month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2427,validation,final_projected_label,3 to 5 per month,3 to 5 per month,True,True,cluster_burden;current_vs_historical;competing_semiologies,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2435,validation,final_projected_label,5 to 7 per 2 week,5 to 7 per 2 week,True,True,diary_or_log_aggregation;current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2437,validation,final_projected_label,2 to 3 per 2 month,2 to 3 per 2 month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2440,validation,final_projected_label,5 to 7 per 2 month,5 to 7 per 2 month,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
gan2026_llm_heavy_evidence_selection_with_deterministic_adapters_validation250_gpt41mini_v1_live_2026-06-03.jsonl,2456,validation,final_projected_label,6 to 7 per 2 week,6 to 7 per 2 week,True,True,current_vs_historical,none,primary layer is Purist-correct,True,True,,,
