rule_id,group,portability,current_module,current_prediction_effect,proposed_owner,prompt_instruction_status,deterministic_adapter_status,ablation_switch,target_failure_rows,claim_language_constraint,notes
benchmark_repair.every_each_forms,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Convert every/each period phrasing into count per period labels.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.fallback_if_disallowed,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Apply fallback repair when the label is outside accepted formats.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.final_allowed_format_repair,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Final accepted-format guard before returning a prediction label.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.fix_cluster_block,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Repair cluster labels before final cluster normalization.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.inequality_to_multiple,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Map inequality phrases to multiple when scorer format lacks bounds.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.normalize_cluster_label,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Normalize compact cluster-only labels.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.normalize_cluster_label2,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Normalize dual cluster and per-cluster labels.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.normalize_units_after_cluster,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Normalize units after cluster repair.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.normalize_units_after_seizure_free,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Normalize units after seizure-free canonicalization.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.normalize_units_first,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Normalize unit abbreviations and plurals.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.normalize_whitespace_first,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,"Normalize case, whitespace, and surrounding label text.",deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.once_twice_thrice,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Convert once/twice/thrice to numeric counts.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.period_words,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Convert daily/weekly/monthly/yearly period words into per labels.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.range_delimiters,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Normalize hyphenated numeric ranges to 'to'.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.reorder_period_then_count,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Reorder period-then-count predictions into count-per-period labels.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.slash_per_forms,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Convert slash-per shorthand into count per period labels.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.unknown_no_reference,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Normalize common unknown and no-reference prediction phrases.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.word_numbers,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Convert number words used in labels to digits.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.x_times_forms,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Convert x/times shorthand into count per period labels.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
benchmark_repair.zero_period_to_unknown,benchmark_repair,benchmark_format,contract.benchmark_prediction_repair,Map impossible zero-period denominators to unknown.,deterministic_extraction_or_adapter,Do not spend model capacity on parser grammar except in explicit comparator smokes.,Keep as explicit benchmark-format repair layer.,repair_mode raw/strict/clean/benchmark-aligned,"parser grammar, slash/per, units, cluster syntax, seizure-free label format","Benchmark repair is format compatibility, not clinical extraction.",Report raw/strict/repaired layers separately.
adapter.selected_evidence_cluster,cluster_arithmetic,seizure_frequency,selected_evidence.selected_evidence_cluster,Converts selected cluster evidence into cluster cadence and per-cluster labels.,deterministic_extraction_or_adapter,Model owns ambiguous cluster evidence selection; deterministic code may render selected operands.,Allowed as benchmark/arithmetic adapter when cluster operands are model-selected.,selected-evidence-arithmetic component ablation,row 187 and cluster-cadence/flattening failures,"LLM-heavy if the model selected the cluster fact/operands; hybrid if deterministic code chose cadence, size, or competing burden.",Cluster syntax and clinical burden are often separable decisions.
cluster.adjective_rate,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Adjective cluster rate such as weekly morning clusters reported.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.adjective_rate,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.batch_within_24h,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Interval without seizures followed by batches within 24 hours.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.batch_within_24h,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.broad_count_this_period_with_size,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,This-period cluster count with intervening descriptors and explicit size.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.broad_count_this_period_with_size,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.compact_count_per_period,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Compact cluster count per period such as clusters 3x/month.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.compact_count_per_period,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.count_over_period,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Cluster count over a recent window with unspecified cluster size.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.count_over_period,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.count_this_period,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Cluster count this week/month/quarter/year with unknown size.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.count_this_period,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.count_this_period_vague_size,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Cluster count this period with vague cluster size.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.count_this_period_vague_size,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.count_this_period_with_size,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,This-week/month cluster count with explicit events per cluster.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.count_this_period_with_size,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.count_with_implied_size,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,This-period cluster count whose trailing context implies cluster size.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.count_with_implied_size,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.days_this_period,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Cluster days this month/week with unspecified events per cluster.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.days_this_period,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.descriptor_size,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Adjective cluster period with usually/typically size descriptor.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.descriptor_size,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.each_comprising,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Cluster count over a recent window with each-comprising size.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.each_comprising,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.last_convulsive_persistence,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Last convulsive seizure date with persisting myoclonic clusters.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.last_convulsive_persistence,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.last_month_count,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Last-month cluster count with optional approximation marker.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.last_month_count,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.monthly_rate_with_size,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Monthly clusters with explicit events over 24 hours.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.monthly_rate_with_size,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.nearly_interval,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Nearly interval without seizures followed by one-day recurrence cluster.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.nearly_interval,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.period_with_per_cluster,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Periodic cluster statement with explicit per-cluster size.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.period_with_per_cluster,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.rate_with_size,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Cluster count per period with explicit events per cluster.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.rate_with_size,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.run_with_separate_days,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Run or cluster over a recent window with separate-day event count.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.run_with_separate_days,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.seizure_days_per_period,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Clusters of seizures on N days each week/month.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.seizure_days_per_period,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.seizure_free_cycle,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Seizure-free cycle followed by same-day cluster size.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.seizure_free_cycle,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.seizure_free_interval_day,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Seizure-free interval followed by a day with multiple events.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.seizure_free_interval_day,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.short_burst_monthly,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Short bursts around the beginning of most months.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.short_burst_monthly,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.size_without_count,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Period with per-cluster size but no explicit cluster count.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.size_without_count,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.timing_days,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,"Clusters on several/count mornings, evenings, nights, or afternoons per period.",hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.timing_days,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.unknown_frequency_with_size,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Known events per cluster with unclear cluster frequency.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.unknown_frequency_with_size,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
cluster.vague_days_over_period,cluster_arithmetic,seizure_frequency,deterministic.rules.cluster,Cluster over a recent window occurring on multiple or several days.,hybrid_side_car,Teach clinical cluster interpretation and operand exposure.,Keep deterministic cluster arithmetic as side-car unless explicitly promoted.,AblationConfig enabled_groups=cluster_arithmetic; disabled_rule_ids=cluster.vague_days_over_period,"cluster syntax, cadence flattening, events-per-cluster rows",Cluster corrections are not LLM-owned unless raw output selects and renders them.,Clinical burden and Gan syntax must remain separately attributed.
adapter.selected_evidence_window_counts,date_duration_utilities,seizure_frequency,selected_evidence.selected_evidence_window,Sums or formats selected counts over explicit windows.,deterministic_extraction_or_adapter,Model should emit selected operands and arithmetic trace.,Allowed in primary LLM-heavy score layer when operands are model-selected.,selected-evidence-arithmetic component ablation,single-total-window and compact interval rendering failures,Deterministic arithmetic does not break LLM-heavy attribution if clinical selection is model-owned.,Mechanical when evidence selection is already correct; semantic when it chooses the window.
