path,lineage,role,status,notes
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/clinical_assessment_projection_render.py,hybrid-reset-current,analyzer,canonical,imported directly by canonical reset_clinical_assessment_pipeline as a composed stage — exclusive canonical-pipeline support
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/clinical_assessment_projection_score.py,hybrid-reset-current,analyzer,canonical,imported directly by canonical reset_clinical_assessment_pipeline as a composed stage — exclusive canonical-pipeline support
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/clinical_assessment_verification_decision.py,hybrid-reset-current,analyzer,canonical,imported directly by canonical reset_clinical_assessment_pipeline as a composed stage — exclusive canonical-pipeline support
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/clinical_assessment_verification_route.py,hybrid-reset-current,analyzer,canonical,imported directly by canonical reset_clinical_assessment_pipeline as a composed stage — exclusive canonical-pipeline support
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/combined_change_only_switch_layer_experiment.py,hybrid-parallel-state,analyzer,needs-decision,"overlap cluster: verification/routing; references hybrid_parallel_state_candidate_reasoner — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/component_projection_panel.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: projection/render/scoring
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/direct_labeler_unrecalled_failure_slice_experiment.py,llm-only,analyzer,needs-decision,ablation/analyzer surveyed for Phase F consolidation; built around superseded llm_only_direct_labeler — audit exclusivity in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/evidence_selection_matrix.py,hybrid-parallel-state,analyzer,needs-decision,"overlap cluster: candidate/state; references hybrid_parallel_state_candidate_reasoner — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/fewshot_train_exemplar_candidate_experiment.py,llm-only,analyzer,needs-decision,overlap cluster: candidate/state; built around superseded llm_only_direct_labeler — audit exclusivity in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/first_verifier_post_run_accounting.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: verification/routing
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/gold_audit_active_sampler.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: validation surfaces
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/h10_raw_identity_sidecar.py,hybrid-parallel-state,analyzer,needs-decision,"overlap cluster: hidden-family/repair-policy; references hybrid_parallel_state_candidate_reasoner — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/h10_runtime_variance_audit.py,hybrid-parallel-state,analyzer,needs-decision,"overlap cluster: hidden-family/repair-policy; references hybrid_parallel_state_candidate_reasoner — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/h1_hidden_family_slice_aggregates.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: hidden-family/repair-policy
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/h5_repair_policy_manifest.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: hidden-family/repair-policy
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/h5_semantic_repair_gap.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: hidden-family/repair-policy
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/h5_semantic_repair_inventory.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: hidden-family/repair-policy
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/h9_action_policy_gap.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: hidden-family/repair-policy
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/h9_action_policy_sidecars.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: hidden-family/repair-policy
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/hidden_family_atlas.py,hybrid-parallel-state,analyzer,needs-decision,"overlap cluster: hidden-family/repair-policy; references hybrid_parallel_state_candidate_reasoner — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/llm_component_mechanics.py,hybrid-reset-current,analyzer,shared-keep,ablation/analyzer surveyed for Phase F consolidation
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/llm_replacement_postprocessing_ablation.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: ablation
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/month_bucket_duration_selection_ablation.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: ablation
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/nonprediction_recovery_audit.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: validation surfaces
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/nonprediction_release_candidate.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: validation surfaces
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/null_reduction_validation_slices.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: validation surfaces
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/projection_arbitration_ablation.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: ablation
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/projection_decision_matrix.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: projection/render/scoring
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/replay_io.py,shared-infrastructure,component,shared-keep,shared saved-output replay IO helpers used across analyzers and llm_only_structured_events
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/reset_stage_component_ablation_v6.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: ablation
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/reset_stage_component_inventory.py,hybrid-reset-current,analyzer,canonical,records reset-stage crosswalk from old families to current owners — directly documents the canonical reset lineage
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/rq10_gold_scorer_ambiguity_audit.py,hybrid-parallel-state,analyzer,needs-decision,"overlap cluster: RQ-panels; references hybrid_parallel_state_candidate_reasoner — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/rq1_rq2_control_panels.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: RQ-panels
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/rq5_rendering_matrix.py,hybrid-parallel-state,analyzer,needs-decision,"overlap cluster: projection/render/scoring; references hybrid_parallel_state_candidate_reasoner — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/rq8_telemetry_guard.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: RQ-panels
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/rq9_abstention_pressure.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: RQ-panels
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/rq9_abstention_review_predeclaration.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: RQ-panels
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/rq9_cluster_convention_monitoring.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: RQ-panels
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/rq9_last_event_boundary.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: RQ-panels
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/rq9_router_pressure_points.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: RQ-panels
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/rq9_selective_action_router.py,hybrid-parallel-state,analyzer,needs-decision,"overlap cluster: RQ-panels; references hybrid_parallel_state_candidate_reasoner — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/seizure_free_duration_node_replay.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: boundary/seizure-free
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/seizure_free_duration_projection_ablation.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: ablation
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/selected_candidate_decision_diagnostics.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: candidate/state
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/selected_state_union_replay.py,hybrid-staged-v0,analyzer,needs-decision,"overlap cluster: candidate/state; references staged_hybrid_assembly (v0) — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/selective_boundary_candidate_experiment.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: boundary/seizure-free
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/selective_boundary_candidate_predeclaration.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: boundary/seizure-free
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/selective_safety_floor_gate_replay.py,hybrid-parallel-state,analyzer,needs-decision,"overlap cluster: boundary/seizure-free; references hybrid_parallel_state_candidate_reasoner — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/selective_verifier_experiment.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: verification/routing
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/selective_verifier_predeclaration.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: verification/routing
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/selective_verifier_prompt_design_experiment.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: verification/routing
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/structured_projection_port_frozen_test_audit.py,hybrid-staged-v1,analyzer,needs-decision,"overlap cluster: boundary/seizure-free; references hybrid_parallel_state_candidate_reasoner — superseded-lineage-coupled, audit in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/suspicious_selected_state_routing.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: verification/routing
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/validation_component_stress_ablation.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: ablation
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/validation_component_stress_panel.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: validation surfaces
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/validation_gold_ambiguity_inventory.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: validation surfaces
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/validation_test_gap_hypothesis_selection.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: validation surfaces
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/validation_test_gap_matrix.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: validation surfaces
src/clinical_extraction/tasks/seizure_frequency/gan2026/artifact_analysis/validation_test_surface_map.py,hybrid-reset-current,analyzer,shared-keep,overlap cluster: validation surfaces
src/clinical_extraction/tasks/seizure_frequency/gan2026/cli/__init__.py,shared-infrastructure,doc,shared-keep,package init for cli/
src/clinical_extraction/tasks/seizure_frequency/gan2026/cli/llm_pipeline_cli.py,shared-infrastructure,component,shared-keep,"registry-of-runners CLI surface — references canonical AND superseded-candidate runners; collapse target for Phase F.3, audit registry entries in Phase C"
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/__init__.py,shared-infrastructure,doc,shared-keep,package init for components/
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/abstention_policy_predeclaration.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/assembly_failure_recoverability.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/benchmark_renderer_fixture.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/boundary_benchmark_candidate_assembly.py,hybrid-staged-v1,component,needs-decision,boundary/benchmark typed-field component family (boundary/seizure-free cluster); likely staged-assembly-era — confirm dependents in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/boundary_benchmark_contract.py,hybrid-staged-v1,component,needs-decision,boundary/benchmark typed-field component family (boundary/seizure-free cluster); likely staged-assembly-era — confirm dependents in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/boundary_benchmark_h3_h7_full_test.py,hybrid-staged-v1,component,needs-decision,boundary/benchmark typed-field component family (boundary/seizure-free cluster); likely staged-assembly-era — confirm dependents in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/boundary_benchmark_seed_panel.py,hybrid-staged-v1,component,needs-decision,boundary/benchmark typed-field component family (boundary/seizure-free cluster); likely staged-assembly-era — confirm dependents in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/boundary_benchmark_validation_contract.py,hybrid-staged-v1,component,needs-decision,boundary/benchmark typed-field component family (boundary/seizure-free cluster); likely staged-assembly-era — confirm dependents in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/boundary_benchmark_validation_panel.py,hybrid-staged-v1,component,needs-decision,boundary/benchmark typed-field component family (boundary/seizure-free cluster); likely staged-assembly-era — confirm dependents in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/boundary_event_contract.py,hybrid-staged-v1,component,needs-decision,boundary/benchmark typed-field component family (boundary/seizure-free cluster); likely staged-assembly-era — confirm dependents in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/boundary_event_validation_panel.py,hybrid-staged-v1,component,needs-decision,boundary/benchmark typed-field component family (boundary/seizure-free cluster); likely staged-assembly-era — confirm dependents in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/boundary_renderer_component_ablation.py,hybrid-staged-v1,component,needs-decision,boundary/benchmark typed-field component family (boundary/seizure-free cluster); likely staged-assembly-era — confirm dependents in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/boundary_selector_precision_revision.py,hybrid-staged-v1,component,needs-decision,boundary/benchmark typed-field component family (boundary/seizure-free cluster); likely staged-assembly-era — confirm dependents in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/candidate_union_ranker_ablation.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/change_only_candidate_verifier.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/clinical_assessment_first_verifier.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/component_evidence_matrix.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/diary_log_full_validation_audit.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/exact_label_selector_ablation.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/h7_minimal_pair_panel.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/last_event_date_instrumentation.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/residual_nonprediction_audit.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/selective_abstention_pressure.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/selective_verifier.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/source_trace.py,hybrid-staged-v0,component,needs-decision,"pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C; imported by artifact_analysis/selected_state_union_replay and suspicious_selected_state_routing — has live cross-module dependents, audit before any move"
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/staged_decision_policy.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structural_guard_full_validation_audit.py,hybrid-staged-v0,component,needs-decision,pressure/policy-routing or staged-decision component named in 'staged hybrid assembly' rows (component_evidence_matrix docstring names 'staged hybrid assembly rows'); audit exclusivity to staged_hybrid_assembly v0 lineage in Phase C
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_candidate_contract.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_candidate_family_audit.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_candidate_panel.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_event_projection_audit.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_projection_expansion_source_audit.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_seed_event_generator.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_seed_expansion_panel.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_seed_projection_generator.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_seed_validation_extractor.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_seed_validation_panel.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_synthetic_hard_opportunity_panel.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_synthetic_projection_generator.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_validation_hard_opportunity_miner.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_validation_projection_extractor.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_validation_projection_panel.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
src/clinical_extraction/tasks/seizure_frequency/gan2026/components/structured_validation_projection_port_panel.py,hybrid-staged-v1,component,needs-decision,structured-candidate/seed/projection family — appears tied to staged-assembly-era validation work (boundary/seizure-free + candidate/state clusters); confirm exclusivity to superseded staged lineages in Phase C before marking superseded-candidate
